v1	V(v_1)	V(v_2)	I(V3)
-6.439999999999997e-001	1.856000e+000	2.500000e+000	-4.859981e-005
-6.429999999999997e-001	1.857000e+000	2.500000e+000	-4.850956e-005
-6.419999999999997e-001	1.858000e+000	2.500000e+000	-4.841924e-005
-6.409999999999997e-001	1.859000e+000	2.500000e+000	-4.832887e-005
-6.399999999999997e-001	1.860000e+000	2.500000e+000	-4.823843e-005
-6.389999999999997e-001	1.861000e+000	2.500000e+000	-4.814794e-005
-6.379999999999997e-001	1.862000e+000	2.500000e+000	-4.805739e-005
-6.369999999999997e-001	1.863000e+000	2.500000e+000	-4.796677e-005
-6.359999999999997e-001	1.864000e+000	2.500000e+000	-4.787610e-005
-6.349999999999997e-001	1.865000e+000	2.500000e+000	-4.778537e-005
-6.339999999999997e-001	1.866000e+000	2.500000e+000	-4.769458e-005
-6.329999999999997e-001	1.867000e+000	2.500000e+000	-4.760373e-005
-6.319999999999997e-001	1.868000e+000	2.500000e+000	-4.751283e-005
-6.309999999999997e-001	1.869000e+000	2.500000e+000	-4.742188e-005
-6.299999999999997e-001	1.870000e+000	2.500000e+000	-4.733086e-005
-6.289999999999997e-001	1.871000e+000	2.500000e+000	-4.723980e-005
-6.279999999999997e-001	1.872000e+000	2.500000e+000	-4.714867e-005
-6.269999999999997e-001	1.873000e+000	2.500000e+000	-4.705750e-005
